"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44414492","2.14.2","0.19","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44414492","2.14.2","0.00","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44414492","2.14.2","0.00","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44414492","2.14.2","0.00","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44417982","2.15.2","0.76","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44417982","2.15.2","0.38","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44417982","2.15.2","0.95","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44417982","2.15.2","0.96","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44417982","2.15.2","0.38","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44394230","2.16.2","56.85","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44394230","2.16.2","61.52","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44394230","2.16.2","65.64","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44394230","2.16.2","73.55","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44394230","2.16.2","80.83","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44357041","2.17.2","24.18","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44357041","2.17.2","25.93","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44357041","2.17.2","23.21","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44357041","2.17.2","29.61","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44357041","2.17.2","28.35","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44406511","2.22.2","9.26","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44406511","2.22.2","8.90","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44406511","2.22.2","6.85","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44406511","2.22.2","5.73","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44406511","2.22.2","7.85","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44331893","2.23.2","106.15","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44331893","2.23.2","114.72","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44331893","2.23.2","111.31","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44331893","2.23.2","137.54","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44331893","2.23.2","154.38","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44371515","2.24.2","577.80","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44371515","2.24.2","567.54","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44371515","2.24.2","566.82","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44371515","2.24.2","638.81","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44371515","2.24.2","679.18","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44361344","4.5.2","0.00","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44361344","4.5.2","1.33","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44361344","4.5.2","0.00","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44361344","4.5.2","1.27","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44361344","4.5.2","0.63","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44347532","4.10.2","0.00","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44347532","4.10.2","0.00","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44347532","4.10.2","0.00","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44347532","4.10.2","0.64","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44347532","4.10.2","0.00","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44397230","4.13.2","0.00","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44397230","4.13.2","1.33","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44397230","4.13.2","0.65","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44397230","4.13.2","0.00","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44397230","4.13.2","0.00","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44400826","4.14.2","0.00","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44400826","4.14.2","0.00","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44400826","4.14.2","0.65","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44400826","4.14.2","0.00","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44400826","4.14.2","0.63","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44331023","4.15.2","0.68","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44331023","4.15.2","0.00","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44331023","4.15.2","0.65","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44331023","4.15.2","0.00","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44331023","4.15.2","1.25","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44370769","4.16.2","48.31","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44370769","4.16.2","45.88","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44370769","4.16.2","68.45","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44370769","4.16.2","83.94","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44370769","4.16.2","70.79","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44354389","4.17.2","23.13","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44354389","4.17.2","18.62","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44354389","4.17.2","23.47","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44354389","4.17.2","33.07","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44354389","4.17.2","26.94","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44342784","4.22.2","4.08","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44342784","4.22.2","4.65","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44342784","4.22.2","1.96","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44342784","4.22.2","1.91","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44342784","4.22.2","3.13","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44374089","4.23.2","66.00","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44374089","4.23.2","79.79","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44374089","4.23.2","69.10","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44374089","4.23.2","67.40","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44374089","4.23.2","65.78","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44335059","4.24.2","335.44","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44335059","4.24.2","383.64","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44335059","4.24.2","413.96","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44335059","4.24.2","467.37","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44335059","4.24.2","394.68","","","","2"
"2016","Nova Scotia [12]","2016A000212","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44334756","5.5.2","1.38","","","","2"
"2017","Nova Scotia [12]","2016A000212","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44334756","5.5.2","2.21","","","","2"
"2018","Nova Scotia [12]","2016A000212","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44334756","5.5.2","1.15","","","","2"
"2019","Nova Scotia [12]","2016A000212","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44334756","5.5.2","0.62","","","","2"
"2020","Nova Scotia [12]","2016A000212","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44334756","5.5.2","3.57","","","","2"
"2016","Nova Scotia [12]","2016A000212","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44375100","5.10.2","0.32","","","","2"
"2017","Nova Scotia [12]","2016A000212","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44375100","5.10.2","0.21","","","","2"
"2018","Nova Scotia [12]","2016A000212","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44375100","5.10.2","0.31","","","","2"
"2019","Nova Scotia [12]","2016A000212","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44375100","5.10.2","0.82","","","","2"
"2020","Nova Scotia [12]","2016A000212","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44375100","5.10.2","0.31","","","","2"
"2016","Nova Scotia [12]","2016A000212","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44353212","5.13.2","2.97","","","","2"
"2017","Nova Scotia [12]","2016A000212","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44353212","5.13.2","2.84","","","","2"
"2018","Nova Scotia [12]","2016A000212","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44353212","5.13.2","1.98","","","","2"
"2019","Nova Scotia [12]","2016A000212","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44353212","5.13.2","4.33","","","","2"
"2020","Nova Scotia [12]","2016A000212","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44353212","5.13.2","4.80","","","","2"
"2016","Nova Scotia [12]","2016A000212","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44347129","5.14.2","0.42","","","","2"
"2017","Nova Scotia [12]","2016A000212","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44347129","5.14.2","0.42","","","","2"
"2018","Nova Scotia [12]","2016A000212","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44347129","5.14.2","0.73","","","","2"
"2019","Nova Scotia [12]","2016A000212","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44347129","5.14.2","0.41","","","","2"
"2020","Nova Scotia [12]","2016A000212","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44347129","5.14.2","0.92","","","","2"
"2016","Nova Scotia [12]","2016A000212","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44394971","5.15.2","0.74","","","","2"
"2017","Nova Scotia [12]","2016A000212","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44394971","5.15.2","0.95","","","","2"
"2018","Nova Scotia [12]","2016A000212","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44394971","5.15.2","0.73","","","","2"
"2019","Nova Scotia [12]","2016A000212","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44394971","5.15.2","1.55","","","","2"
"2020","Nova Scotia [12]","2016A000212","Sexual assault, level 2, weapon or bodily harm [1320]","Rate per 100,000 population","Rate","257","units","0","v44394971","5.15.2","1.33","","","","2"
"2016","Nova Scotia [12]","2016A000212","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44341781","5.16.2","66.08","","","","2"
"2017","Nova Scotia [12]","2016A000212","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44341781","5.16.2","78.10","","","","2"
"2018","Nova Scotia [12]","2016A000212","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44341781","5.16.2","107.89","","","","2"
"2019","Nova Scotia [12]","2016A000212","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44341781","5.16.2","91.05","","","","2"
"2020","Nova Scotia [12]","2016A000212","Sexual assault, level 1 [1330]","Rate per 100,000 population","Rate","257","units","0","v44341781","5.16.2","86.18","","","","2"
"2016","Nova Scotia [12]","2016A000212","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44380528","5.17.2","23.23","","","","2"
"2017","Nova Scotia [12]","2016A000212","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44380528","5.17.2","26.73","","","","2"
"2018","Nova Scotia [12]","2016A000212","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44380528","5.17.2","27.13","","","","2"
"2019","Nova Scotia [12]","2016A000212","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44380528","5.17.2","32.28","","","","2"
"2020","Nova Scotia [12]","2016A000212","Total sexual violations against children [130]","Rate per 100,000 population","Rate","257","units","0","v44380528","5.17.2","31.35","","","","2"
"2016","Nova Scotia [12]","2016A000212","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44357683","5.22.2","9.12","","","","2"
"2017","Nova Scotia [12]","2016A000212","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44357683","5.22.2","8.95","","","","2"
"2018","Nova Scotia [12]","2016A000212","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44357683","5.22.2","8.35","","","","2"
"2019","Nova Scotia [12]","2016A000212","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44357683","5.22.2","10.83","","","","2"
"2020","Nova Scotia [12]","2016A000212","Assault, level 3, aggravated [1410]","Rate per 100,000 population","Rate","257","units","0","v44357683","5.22.2","6.74","","","","2"
"2016","Nova Scotia [12]","2016A000212","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44358545","5.23.2","111.37","","","","2"
"2017","Nova Scotia [12]","2016A000212","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44358545","5.23.2","113.88","","","","2"
"2018","Nova Scotia [12]","2016A000212","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44358545","5.23.2","111.85","","","","2"
"2019","Nova Scotia [12]","2016A000212","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44358545","5.23.2","119.41","","","","2"
"2020","Nova Scotia [12]","2016A000212","Assault, level 2, weapon or bodily harm [1420]","Rate per 100,000 population","Rate","257","units","0","v44358545","5.23.2","144.08","","","","2"
"2016","Nova Scotia [12]","2016A000212","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44387552","5.24.2","446.23","","","","2"
"2017","Nova Scotia [12]","2016A000212","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44387552","5.24.2","482.79","","","","2"
"2018","Nova Scotia [12]","2016A000212","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44387552","5.24.2","480.17","","","","2"
"2019","Nova Scotia [12]","2016A000212","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44387552","5.24.2","512.92","","","","2"
"2020","Nova Scotia [12]","2016A000212","Assault, level 1 [1430]","Rate per 100,000 population","Rate","257","units","0","v44387552","5.24.2","521.16","","","","2"
"2016","Halifax, Nova Scotia [12205]","2011S0503205","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44380780","6.5.2","2.90","","","","2"
"2017","Halifax, Nova Scotia [12205]","2011S0503205","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44380780","6.5.2","1.90","","","","2"
"2018","Halifax, Nova Scotia [12205]","2011S0503205","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44380780","6.5.2","1.63","","","","2"
"2019","Halifax, Nova Scotia [12205]","2011S0503205","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44380780","6.5.2","0.68","","","","2"
"2020","Halifax, Nova Scotia [12205]","2011S0503205","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44380780","6.5.2","1.56","","","","2"
"2016","Halifax, Nova Scotia [12205]","2011S0503205","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44357976","6.10.2","0.48","","","","2"
"2017","Halifax, Nova Scotia [12205]","2011S0503205","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44357976","6.10.2","0.00","","","","2"
"2018","Halifax, Nova Scotia [12205]","2011S0503205","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44357976","6.10.2","0.23","","","","2"
"2019","Halifax, Nova Scotia [12205]","2011S0503205","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44357976","6.10.2","0.23","","","","2"
"2020","Halifax, Nova Scotia [12205]","2011S0503205","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44357976","6.10.2","0.22","","","","2"
"2016","Halifax, Nova Scotia [12205]","2011S0503205","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44333973","6.13.2","2.90","","","","2"
"2017","Halifax, Nova Scotia [12205]","2011S0503205","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44333973","6.13.2","3.56","","","","2"
"2018","Halifax, Nova Scotia [12205]","2011S0503205","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44333973","6.13.2","1.63","","","","2"
"2019","Halifax, Nova Scotia [12205]","2011S0503205","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44333973","6.13.2","5.46","","","","2"
"2020","Halifax, Nova Scotia [12205]","2011S0503205","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44333973","6.13.2","4.24","","","","2"
"2016","Halifax, Nova Scotia [12205]","2011S0503205","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44358290","6.14.2","0.48","","","","2"
"2017","Halifax, Nova Scotia [12205]","2011S0503205","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44358290","6.14.2","0.00","","","","2"
"2018","Halifax, Nova Scotia [12205]","2011S0503205","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44358290","6.14.2","0.70","","","","2"
"2019","Halifax, Nova Scotia [12205]","2011S0503205","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44358290","6.14.2","0.91","","","","2"
"2020","Halifax, Nova Scotia [12205]","2011S0503205","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44358290","6.14.2","1.11","","","","2"
